trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-218.24060901986164,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-137.27774182650498,"{0: 18, 1: 5, 2: 3, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-64.30207644730065,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-114.6657683566761,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-148.45350743750913,"{0: 21, 1: 2, 2: 2, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-141.186363036073,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-61.93739373908863,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-32.293112411613905,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-73.78369867838892,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-11.669373322443041,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-46.12727084996822,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,5.599138366817976,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,8.138334668654814,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-80.02318329205904,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,5,0.14824761327263625,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-23.154336362216483,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-68.33291260334079,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,7,5.340430251093657,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,17,14.410073201204948,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,1,31.98547202035151,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-5.411032705863719,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,3,20.239259617424906,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': -3.191891195797325e-16}",30,15,-0.3799158049710245,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,5,27.15986151405772,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,26.936394463484604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,2,-14.992847770982724,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-74.12007148701377,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,3,-1.179456095598701,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,4.6417526725085105,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': -3.191891195797325e-16}",30,15,24.883461723756202,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
