trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-112.84239650789384,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-173.04224012478622,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-185.35566104572388,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,4,-154.25974347243624,"{0: 6, 1: 3, 2: 3, 3: 2, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-59.09599211980836,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-247.99707447666597,"{0: 19, 1: 5, 2: 4, 3: 4, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-179.5994437230279,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-64.51537549048861,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-62.62825855267393,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-135.75001704075206,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-163.9623947011731,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-90.48030732193727,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-152.09231187503653,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-68.01219184944414,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-68.40885972866342,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-127.4044846487116,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-56.331732615399005,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,7.702811645808403,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-20.893247668479237,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-237.49926181111246,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
1,True,"{'a': 0, 'e': -3.191891195797325e-16}",30,19,-11.06272204157713,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-77.64608415974031,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,0,-55.98721035839632,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-72.76761640604946,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,0,-215.60267829316993,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
6,True,"{'a': 0, 'e': -3.191891195797325e-16}",30,0,-225.9817154332184,"{0: 15, 1: 2, 2: 7, 3: 4, 4: 2}",0
7,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-95.69884699882132,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-102.6639136077343,"{0: 9, 1: 5, 2: 3, 3: 3, 4: 0}",0
9,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,0,-121.47909296026037,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-90.56399446997816,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
