trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.21754797062295,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.31510209391845,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-243.00746479649564,"{0: 10, 1: 6, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.4416229360064,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.67248142417321,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-222.19610299365922,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.76598610100027,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,13,-74.95732025958542,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.23949115633465,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.78396824304339,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.0583735928548,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-172.51637895662512,"{0: 19, 1: 4, 2: 9, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,8,-4.953660586400716,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.78935607611623,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.58843265124455,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,12,-26.078684325676253,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-218.3334100292165,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.95718408145478,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.76744247426527,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.20501294252918,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.38745509831674,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1.0}",35,0,-235.74697745295867,"{0: 18, 1: 5, 2: 8, 3: 0, 4: 4}",0
23,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.9713386072916,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 1.0}",30,0,-292.8686335603605,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 5}",0
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.594758330545154,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.38370754651545,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.28895432249635,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.061629160197384,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.04355557697892,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.438283040245786,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.08713689178778,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.36748731529539,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 1.0}",30,20,-18.406923783356305,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.27544527414139,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.522133498498,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.43639546846836,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.48858728996294,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
