trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.999}",30,0,-137.52091704995118,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.998001}",20,0,-101.0325093570219,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.997002999}",20,0,-90.63935794630459,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.996005996001}",20,0,-87.68704149655116,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.995009990004999}",25,0,-230.98708936123725,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
6,False,"{'a': 0.75, 'e': 0.994014980014994}",20,4,-63.39573313233287,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.75, 'e': 0.993020965034979}",25,0,-128.99531894862562,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.75, 'e': 0.992027944069944}",25,0,-115.1017734673638,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.991035916125874}",30,0,-91.78608367907202,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.9900448802097482}",25,0,-104.32903007081168,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.75, 'e': 0.9890548353295384}",25,0,-76.73642056845716,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.9880657804942089}",30,0,-195.16192640519188,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
13,False,"{'a': 0.75, 'e': 0.9870777147137147}",20,0,-176.83100527483379,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.75, 'e': 0.986090636999001}",25,12,-17.133682090350504,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.75, 'e': 0.985104546362002}",20,0,-49.9161526016633,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.9841194418156399}",20,0,-75.40105050439048,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.9831353223738244}",20,12,-48.29376458762457,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.75, 'e': 0.9821521870514505}",20,0,-108.21868055139149,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.981170034864399}",25,0,-97.63461829719863,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.75, 'e': 0.9801888648295347}",20,0,-147.26529055081815,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
