trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.999}",25,0,-151.1844700719002,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.998001}",20,2,-142.85090957159943,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 2}",1
3,False,"{'a': 0.75, 'e': 0.997002999}",25,0,-190.20025562371774,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.75, 'e': 0.996005996001}",25,0,-74.31335888914975,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.995009990004999}",30,14,-65.45541076970264,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.75, 'e': 0.994014980014994}",20,0,-43.425062910948306,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.993020965034979}",20,0,-47.70593283487244,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.992027944069944}",20,5,-100.22584119445274,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 1}",1
9,False,"{'a': 0.75, 'e': 0.991035916125874}",25,0,-155.5894849923515,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.9900448802097482}",30,0,-129.89215102817755,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.9890548353295384}",30,0,-103.8970635782908,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.75, 'e': 0.9880657804942089}",25,0,-66.06869447656388,"{0: 18, 1: 5, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.9870777147137147}",20,0,-169.66326188091887,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.75, 'e': 0.986090636999001}",20,0,-143.1250000119309,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.75, 'e': 0.985104546362002}",20,0,-104.61098070996698,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.9841194418156399}",25,0,-220.81163067724881,"{0: 10, 1: 4, 2: 6, 3: 2, 4: 3}",0
17,False,"{'a': 0.75, 'e': 0.9831353223738244}",25,0,-162.77849973740388,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
18,False,"{'a': 0.75, 'e': 0.9821521870514505}",20,0,-140.82967469810595,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.75, 'e': 0.981170034864399}",25,0,-155.09892280449537,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
20,False,"{'a': 0.75, 'e': 0.9801888648295347}",20,0,-124.50168585006342,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.75, 'e': 0.9792086759647052}",20,0,-139.2181054663676,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.75, 'e': 0.9782294672887404}",25,0,-177.2394016160481,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.75, 'e': 0.9772512378214517}",20,0,-134.63729344951943,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.75, 'e': 0.9762739865836302}",25,0,-212.89046551097744,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
25,False,"{'a': 0.75, 'e': 0.9752977125970466}",20,0,-59.724447510650606,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.9743224148844496}",20,0,-72.62020760937277,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.75, 'e': 0.9733480924695651}",25,0,-140.10967865531273,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
