trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.999}",25,0,-84.4109139377173,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.998001}",35,0,-197.80612028686195,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.6, 'e': 0.997002999}",25,17,-32.3592221278933,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.6, 'e': 0.996005996001}",30,0,-222.51232734045945,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.6, 'e': 0.995009990004999}",20,0,-67.82700364360592,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.994014980014994}",20,3,-73.48880288290083,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.6, 'e': 0.993020965034979}",25,0,-108.65491513395459,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.992027944069944}",30,0,-95.40578415175904,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.991035916125874}",20,0,-125.64764882024369,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.9900448802097482}",20,4,-27.919106364897843,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.9890548353295384}",20,0,-224.64998883809588,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 4}",0
12,False,"{'a': 0.6, 'e': 0.9880657804942089}",25,8,-93.4373451001141,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.6, 'e': 0.9870777147137147}",30,0,-191.36962780447158,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.6, 'e': 0.986090636999001}",20,0,-80.39429007398724,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.985104546362002}",20,0,-64.02287896101333,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.9841194418156399}",20,0,-45.38942445510942,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.9831353223738244}",20,13,-14.768779206170723,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.9821521870514505}",25,0,-159.32803085492657,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.981170034864399}",20,0,-154.05693191654143,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.6, 'e': 0.9801888648295347}",25,15,-22.03908978627073,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.6, 'e': 0.9792086759647052}",20,6,-22.941808400148947,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.6, 'e': 0.9782294672887404}",25,0,-125.32877951712676,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.6, 'e': 0.9772512378214517}",20,0,-139.11720390280166,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.6, 'e': 0.9762739865836302}",30,0,-190.10396692309192,"{0: 14, 1: 7, 2: 5, 3: 2, 4: 2}",0
25,False,"{'a': 0.6, 'e': 0.9752977125970466}",20,0,-75.97581624115303,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.6, 'e': 0.9743224148844496}",25,0,-173.7159143622465,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
27,False,"{'a': 0.6, 'e': 0.9733480924695651}",20,0,-85.51375808306138,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.6, 'e': 0.9723747443770956}",25,0,-111.82363202915427,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.9714023696327184}",20,0,-96.86608460353719,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.9704309672630858}",20,0,-115.97032142326809,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.9694605362958226}",30,0,-146.54863300822535,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.6, 'e': 0.9684910757595268}",20,0,-36.037816403581516,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.6, 'e': 0.9675225846837673}",30,8,-165.53513485957865,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 2}",1
34,False,"{'a': 0.6, 'e': 0.9665550620990835}",20,0,-6.858181343562463,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.6, 'e': 0.9655885070369844}",25,0,-112.1109431125479,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.9646229185299474}",20,0,-113.75048604026186,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
37,False,"{'a': 0.6, 'e': 0.9636582956114175}",30,3,-45.467630063682236,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.9626946373158061}",25,0,-198.40807221315026,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
39,False,"{'a': 0.6, 'e': 0.9617319426784903}",20,0,-36.64421336069553,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
40,False,"{'a': 0.6, 'e': 0.9607702107358118}",20,0,-126.51715843535705,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
41,False,"{'a': 0.6, 'e': 0.959809440525076}",30,4,-250.46412994443355,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 4}",1
42,False,"{'a': 0.6, 'e': 0.9588496310845509}",25,0,-137.09042813439925,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 2}",0
43,False,"{'a': 0.6, 'e': 0.9578907814534663}",20,0,-103.23916994205227,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.6, 'e': 0.9569328906720129}",20,8,-31.1828019601949,"{0: 6, 1: 4, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.6, 'e': 0.9559759577813408}",30,0,-204.0063557802099,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
46,False,"{'a': 0.6, 'e': 0.9550199818235595}",25,0,-134.94836355315263,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.6, 'e': 0.954064961841736}",20,0,-168.20513460664367,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
48,False,"{'a': 0.6, 'e': 0.9531108968798943}",20,0,-172.0549601604795,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
49,False,"{'a': 0.6, 'e': 0.9521577859830144}",20,0,-104.19440540986581,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.6, 'e': 0.9512056281970314}",20,8,-10.531666105933862,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.6, 'e': 0.9502544225688343}",20,0,-70.89258584771945,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.6, 'e': 0.9493041681462654}",25,0,-74.86101701152383,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.9483548639781192}",20,0,-167.46848016828218,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
54,False,"{'a': 0.6, 'e': 0.947406509114141}",25,0,-32.038148968940305,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.6, 'e': 0.9464591026050269}",30,0,-204.6613050881988,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 4}",1
56,False,"{'a': 0.6, 'e': 0.9455126435024219}",25,0,-171.31574149012994,"{0: 11, 1: 3, 2: 7, 3: 3, 4: 1}",0
57,False,"{'a': 0.6, 'e': 0.9445671308589194}",30,0,-122.87481377730478,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.6, 'e': 0.9436225637280605}",25,0,-110.93092468329466,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
59,False,"{'a': 0.6, 'e': 0.9426789411643325}",30,0,-284.62457285314144,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 5}",0
60,False,"{'a': 0.6, 'e': 0.9417362622231682}",20,0,-85.30403342822422,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.6, 'e': 0.9407945259609449}",25,0,-125.04431990590025,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
62,False,"{'a': 0.6, 'e': 0.9398537314349841}",25,0,-130.7545909603343,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
63,False,"{'a': 0.6, 'e': 0.9389138777035491}",20,0,-73.46672165343621,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.6, 'e': 0.9379749638258454}",20,0,-62.56293248427145,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.6, 'e': 0.9370369888620197}",20,15,1.6205326622627656,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.6, 'e': 0.9360999518731576}",20,10,-68.39693450081134,"{0: 4, 1: 1, 2: 3, 3: 2, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.9351638519212845}",20,0,-155.11079690841103,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
68,False,"{'a': 0.6, 'e': 0.9342286880693632}",20,0,-101.87240304351752,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
69,False,"{'a': 0.6, 'e': 0.9332944593812939}",25,0,-138.85809434970977,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
70,False,"{'a': 0.6, 'e': 0.9323611649219126}",25,0,-197.4738702227768,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
71,False,"{'a': 0.6, 'e': 0.9314288037569907}",30,0,-204.98936347591027,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
72,False,"{'a': 0.6, 'e': 0.9304973749532336}",20,0,-105.43546752083842,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
73,False,"{'a': 0.6, 'e': 0.9295668775782804}",30,0,-226.45903964750573,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 5}",0
74,False,"{'a': 0.6, 'e': 0.9286373107007021}",20,0,-72.44249252847713,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.6, 'e': 0.9277086733900014}",25,0,-121.72806708155188,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
76,False,"{'a': 0.6, 'e': 0.9267809647166114}",20,5,-76.9207963230271,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.6, 'e': 0.9258541837518948}",30,0,-137.90267455892345,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
78,False,"{'a': 0.6, 'e': 0.9249283295681429}",25,0,-83.33918609848428,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.6, 'e': 0.9240034012385747}",25,0,-231.49677280448736,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
80,False,"{'a': 0.6, 'e': 0.9230793978373362}",20,0,-76.13127839986095,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
