trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.999}",25,0,-74.11947419695115,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.998001}",20,0,-49.66885783038358,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.997002999}",20,0,-142.10196735317254,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.996005996001}",25,0,-222.88972078797727,"{0: 10, 1: 3, 2: 8, 3: 1, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.995009990004999}",30,14,-10.01619630866368,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.994014980014994}",30,0,-106.89110994664458,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.993020965034979}",25,2,-53.19847740848698,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.992027944069944}",20,0,-126.29833773585672,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.991035916125874}",20,0,-182.0903689777202,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.9900448802097482}",35,0,-190.3588908233976,"{0: 21, 1: 5, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.7, 'e': 0.9890548353295384}",30,0,-247.8959702454982,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
12,False,"{'a': 0.7, 'e': 0.9880657804942089}",20,0,-27.92463099258817,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.9870777147137147}",25,0,-161.35569604470567,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.986090636999001}",20,0,-133.82906454384795,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.7, 'e': 0.985104546362002}",20,2,-65.97718061422552,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.7, 'e': 0.9841194418156399}",25,0,-240.36015125134327,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
17,False,"{'a': 0.7, 'e': 0.9831353223738244}",30,0,-27.796745466335025,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.9821521870514505}",30,0,-134.83873428879866,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.981170034864399}",20,2,-143.44328550771576,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 3}",1
20,False,"{'a': 0.7, 'e': 0.9801888648295347}",25,0,-164.3674223003428,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
21,False,"{'a': 0.7, 'e': 0.9792086759647052}",25,0,-24.640612180552424,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.9782294672887404}",20,4,-86.42711689913118,"{0: 10, 1: 2, 2: 1, 3: 2, 4: 1}",1
23,False,"{'a': 0.7, 'e': 0.9772512378214517}",20,0,-42.34771102709133,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.9762739865836302}",35,0,-250.42992820985432,"{0: 18, 1: 2, 2: 10, 3: 2, 4: 3}",0
25,False,"{'a': 0.7, 'e': 0.9752977125970466}",30,0,-148.55292973324703,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.7, 'e': 0.9743224148844496}",25,0,-98.12537530183339,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.9733480924695651}",30,0,-227.10521666417284,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
28,False,"{'a': 0.7, 'e': 0.9723747443770956}",20,0,-121.24859054950598,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.7, 'e': 0.9714023696327184}",25,9,-48.594776674856476,"{0: 8, 1: 6, 2: 1, 3: 1, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.9704309672630858}",20,0,-191.91354731317801,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
31,False,"{'a': 0.7, 'e': 0.9694605362958226}",20,0,-29.563944340519438,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.9684910757595268}",20,0,-105.13440180767175,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.7, 'e': 0.9675225846837673}",25,0,-225.87008767097475,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
34,False,"{'a': 0.7, 'e': 0.9665550620990835}",20,0,-50.82694676201076,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
35,False,"{'a': 0.7, 'e': 0.9655885070369844}",30,0,-163.5702941244853,"{0: 21, 1: 0, 2: 4, 3: 3, 4: 2}",0
36,False,"{'a': 0.7, 'e': 0.9646229185299474}",25,0,-139.39947653054452,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
37,False,"{'a': 0.7, 'e': 0.9636582956114175}",20,0,-105.629796094548,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.7, 'e': 0.9626946373158061}",30,14,-77.05435823126172,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
39,False,"{'a': 0.7, 'e': 0.9617319426784903}",25,0,-200.11323912264837,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
40,False,"{'a': 0.7, 'e': 0.9607702107358118}",25,0,-91.90429207326218,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
41,False,"{'a': 0.7, 'e': 0.959809440525076}",20,0,-83.97149886003459,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.7, 'e': 0.9588496310845509}",20,0,-92.45005022895025,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
