trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.999}",20,0,-67.42519046756537,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.75, 'e': 0.998001}",25,0,-113.53485832061193,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.997002999}",20,0,-62.91597152351158,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.996005996001}",20,0,-56.85398020336735,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.995009990004999}",20,0,-79.04255724852099,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.994014980014994}",20,0,-72.96714052572499,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.993020965034979}",20,0,-59.00603181586099,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.992027944069944}",25,0,-152.6459724316195,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.991035916125874}",25,0,-225.37513109197008,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
10,False,"{'a': 0.75, 'e': 0.9900448802097482}",20,0,-88.77469272118299,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.9890548353295384}",25,0,-127.81356693559219,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.75, 'e': 0.9880657804942089}",20,0,-112.48984716407398,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.75, 'e': 0.9870777147137147}",20,0,-112.44338303037144,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
14,False,"{'a': 0.75, 'e': 0.986090636999001}",30,0,-113.05974940206538,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.985104546362002}",20,0,-179.13299423403456,"{0: 9, 1: 5, 2: 1, 3: 2, 4: 3}",0
16,False,"{'a': 0.75, 'e': 0.9841194418156399}",20,0,-144.70516530858214,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.75, 'e': 0.9831353223738244}",20,0,-197.0571570072015,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
18,False,"{'a': 0.75, 'e': 0.9821521870514505}",30,19,-63.03365328694271,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.75, 'e': 0.981170034864399}",25,0,-123.57887863212184,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.75, 'e': 0.9801888648295347}",25,0,-152.83869697661703,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.75, 'e': 0.9792086759647052}",20,0,-147.55483677738633,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.75, 'e': 0.9782294672887404}",25,0,-194.93400393465018,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
23,False,"{'a': 0.75, 'e': 0.9772512378214517}",30,0,-151.45876612584453,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
24,False,"{'a': 0.75, 'e': 0.9762739865836302}",20,0,-35.261576412627214,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.75, 'e': 0.9752977125970466}",20,0,-18.240695435028208,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.9743224148844496}",20,0,-105.20035302733314,"{0: 8, 1: 5, 2: 5, 3: 2, 4: 0}",0
27,False,"{'a': 0.75, 'e': 0.9733480924695651}",20,16,9.049121856352501,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.75, 'e': 0.9723747443770956}",30,0,-124.62406807928707,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
29,False,"{'a': 0.75, 'e': 0.9714023696327184}",25,0,-84.99996565508533,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.75, 'e': 0.9704309672630858}",30,15,-114.27539791534963,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 2}",1
31,False,"{'a': 0.75, 'e': 0.9694605362958226}",25,0,-138.38497747127616,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
32,False,"{'a': 0.75, 'e': 0.9684910757595268}",25,6,-59.83772222032991,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.75, 'e': 0.9675225846837673}",20,0,-64.72864644882044,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.75, 'e': 0.9665550620990835}",25,0,-79.72357212945397,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.75, 'e': 0.9655885070369844}",30,1,-130.37392031723718,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 1}",1
36,False,"{'a': 0.75, 'e': 0.9646229185299474}",20,0,-101.259516860504,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.75, 'e': 0.9636582956114175}",20,0,-84.99886633350188,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
38,False,"{'a': 0.75, 'e': 0.9626946373158061}",30,0,-174.88299586106496,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
39,False,"{'a': 0.75, 'e': 0.9617319426784903}",20,2,-92.11114424826727,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
