trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.999}",20,0,-61.05449231070459,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.998001}",20,0,-124.30818264378291,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.75, 'e': 0.997002999}",20,0,-64.28149251749818,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.996005996001}",20,0,-124.73107875439845,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.75, 'e': 0.995009990004999}",30,0,-109.74010322284417,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.994014980014994}",20,0,-100.77126838626441,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.993020965034979}",30,4,-108.42272204018045,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 1}",1
8,False,"{'a': 0.75, 'e': 0.992027944069944}",20,0,-91.25705884992091,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.991035916125874}",20,0,-77.280084014309,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.9900448802097482}",20,0,-106.63936791055653,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.9890548353295384}",30,0,-188.29753308924515,"{0: 16, 1: 7, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.75, 'e': 0.9880657804942089}",30,0,-78.4236634660588,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.9870777147137147}",25,0,-173.06465016322014,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.75, 'e': 0.986090636999001}",20,0,-45.749655126720945,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.985104546362002}",25,0,-166.5301170537143,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.9841194418156399}",20,8,-61.02451527109529,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.75, 'e': 0.9831353223738244}",25,0,-200.89685563817818,"{0: 13, 1: 0, 2: 6, 3: 4, 4: 2}",0
18,False,"{'a': 0.75, 'e': 0.9821521870514505}",30,0,-172.07056996471758,"{0: 12, 1: 6, 2: 10, 3: 1, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.981170034864399}",25,0,-67.33513443006433,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.75, 'e': 0.9801888648295347}",20,0,-113.34160688665726,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.75, 'e': 0.9792086759647052}",20,0,-50.4397779011477,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.75, 'e': 0.9782294672887404}",25,0,-103.24013109994874,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.75, 'e': 0.9772512378214517}",20,9,-29.970115332405733,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
24,False,"{'a': 0.75, 'e': 0.9762739865836302}",25,0,-99.46278566212789,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.75, 'e': 0.9752977125970466}",25,0,-185.99698602612304,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
26,False,"{'a': 0.75, 'e': 0.9743224148844496}",25,0,-240.5116752986119,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 6}",0
27,False,"{'a': 0.75, 'e': 0.9733480924695651}",20,0,-32.63105393520476,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.75, 'e': 0.9723747443770956}",20,0,-108.2706712214578,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
29,False,"{'a': 0.75, 'e': 0.9714023696327184}",25,0,-78.7544359306714,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.75, 'e': 0.9704309672630858}",20,0,-106.49415079703411,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
31,False,"{'a': 0.75, 'e': 0.9694605362958226}",20,0,-66.0300984912946,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.75, 'e': 0.9684910757595268}",25,0,-340.08134046381616,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 6}",0
33,False,"{'a': 0.75, 'e': 0.9675225846837673}",25,0,-155.56823043868684,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
34,False,"{'a': 0.75, 'e': 0.9665550620990835}",20,0,-134.6544172804775,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
35,False,"{'a': 0.75, 'e': 0.9655885070369844}",30,0,-146.68840457074066,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.75, 'e': 0.9646229185299474}",25,0,-71.45087935908671,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.75, 'e': 0.9636582956114175}",20,0,-101.61190498412148,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
38,False,"{'a': 0.75, 'e': 0.9626946373158061}",25,0,-65.10161462514384,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.75, 'e': 0.9617319426784903}",20,6,-93.69098731027009,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 1}",1
40,False,"{'a': 0.75, 'e': 0.9607702107358118}",20,0,-94.00275775169753,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.75, 'e': 0.959809440525076}",20,0,-170.2048233744098,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
42,False,"{'a': 0.75, 'e': 0.9588496310845509}",30,0,-135.80042769613104,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
43,False,"{'a': 0.75, 'e': 0.9578907814534663}",20,0,-8.795132774339834,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.75, 'e': 0.9569328906720129}",25,0,-129.85942913952326,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.75, 'e': 0.9559759577813408}",25,0,-138.7073314467081,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.75, 'e': 0.9550199818235595}",30,0,-109.07692873688207,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
47,False,"{'a': 0.75, 'e': 0.954064961841736}",20,0,-133.1058226735802,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
48,False,"{'a': 0.75, 'e': 0.9531108968798943}",25,0,-105.56852496185837,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.75, 'e': 0.9521577859830144}",30,0,-280.6539700730267,"{0: 12, 1: 5, 2: 5, 3: 5, 4: 3}",0
50,False,"{'a': 0.75, 'e': 0.9512056281970314}",20,10,-92.25537096289052,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
51,False,"{'a': 0.75, 'e': 0.9502544225688343}",20,0,-93.18096197939809,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
52,False,"{'a': 0.75, 'e': 0.9493041681462654}",20,0,-75.16470742886072,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.75, 'e': 0.9483548639781192}",25,0,-144.44691535158944,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
54,False,"{'a': 0.75, 'e': 0.947406509114141}",30,0,-152.1158083123502,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
55,False,"{'a': 0.75, 'e': 0.9464591026050269}",25,0,-37.515782620801694,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
56,False,"{'a': 0.75, 'e': 0.9455126435024219}",25,0,-84.93278707138897,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
57,False,"{'a': 0.75, 'e': 0.9445671308589194}",20,0,-115.90654058791029,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.75, 'e': 0.9436225637280605}",25,0,-91.84472212809719,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
59,False,"{'a': 0.75, 'e': 0.9426789411643325}",30,0,-78.35880536095574,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
60,False,"{'a': 0.75, 'e': 0.9417362622231682}",20,14,2.599858037270315,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.75, 'e': 0.9407945259609449}",30,0,-69.50921828829716,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.75, 'e': 0.9398537314349841}",25,0,-168.56192537289502,"{0: 13, 1: 4, 2: 2, 3: 5, 4: 1}",0
63,False,"{'a': 0.75, 'e': 0.9389138777035491}",25,0,-87.45809670627517,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.75, 'e': 0.9379749638258454}",25,0,-101.30812085447711,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.75, 'e': 0.9370369888620197}",20,0,-24.152798359137773,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.75, 'e': 0.9360999518731576}",25,0,-33.99853742930542,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.75, 'e': 0.9351638519212845}",25,0,-96.32567765443707,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
68,False,"{'a': 0.75, 'e': 0.9342286880693632}",30,0,-96.94248639005303,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
