trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.10749759639943,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.45836012061419,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.5549359544294,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,6,-72.32094297911225,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-26.424895277089437,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.278932857779616,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.36831515511017,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.0688826138429,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.48057239962418,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.43012397404308,"{0: 9, 1: 6, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.97079945907205,"{0: 10, 1: 2, 2: 3, 3: 4, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.857381440605,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.1727195984181,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,12,-86.4893192030645,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.18689187289294,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-67.30086351351962,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,9,-97.42665197298305,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.05197354605306,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.14812487077477,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-139.62819311857933,"{0: 21, 1: 6, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-181.3186910799425,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,1,-194.82692706748156,"{0: 17, 1: 8, 2: 6, 3: 0, 4: 3}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.988942331022315,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.53340795222839,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-13.149885568187011,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,7,-90.12898356480967,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.8072858300069,"{0: 9, 1: 6, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.5860159849595,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-105.4545605528756,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.53244796792606,"{0: 10, 1: 4, 2: 8, 3: 3, 4: 0}",0
