trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,8,-84.415420878561,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.34587143461835,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.19103311957483,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.33445291191566,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,4,-115.58801223977443,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.2467915763314,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.94634496470965,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.7799294478259,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.6146473618972,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,15,-163.34242963165187,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.63389521655586,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-84.79090310685588,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.0503511207503,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-138.06726759165676,"{0: 24, 1: 1, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.8014983866831,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.69623521187674,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.45208916172426,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.68039473386747,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.75831447766207,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.83716208962193,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-18.56771361893456,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.854273753859985,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.87969160207564,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,13,-80.35861790673044,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.21343835946998,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-232.66922400897874,"{0: 14, 1: 2, 2: 2, 3: 3, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-177.05346558642944,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.81253473566639,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.3809946235938,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.43545304115369,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
