trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.999}",30,0,-98.61858377703655,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.998001}",20,0,-163.4773820670475,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.997002999}",30,0,-205.61823080368072,"{0: 13, 1: 4, 2: 8, 3: 4, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.996005996001}",20,0,-103.13986392080591,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.995009990004999}",20,0,-157.25066098956682,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.994014980014994}",25,0,-144.27696961359084,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.993020965034979}",20,6,-44.96030089733527,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.992027944069944}",25,0,-60.18685338565375,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.991035916125874}",25,14,-20.972276277147444,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9900448802097482}",20,0,-62.60830725045689,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9890548353295384}",30,0,-44.88340085203491,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9880657804942089}",25,0,-226.81517921260212,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 4}",0
13,False,"{'a': 0.01, 'e': 0.9870777147137147}",25,0,-160.2525279175524,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.986090636999001}",20,0,-96.34213990331907,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.985104546362002}",25,0,-34.693683713230065,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9841194418156399}",25,5,-154.46313555197128,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",1
