trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-151.57420793721508,"{0: 7, 1: 7, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-104.56039928124592,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-179.34733807920367,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-234.13682984829722,"{0: 17, 1: 4, 2: 8, 3: 4, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-85.39212118525153,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-82.76581805287405,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,6,-26.436394670822267,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-159.41275106298534,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-92.35747314597597,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-45.91206247945386,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-97.68126871665815,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-154.6627922583948,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-134.81285802988026,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-187.1182986164542,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-102.36640146774818,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-59.8709089827692,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-170.39600693832742,"{0: 13, 1: 0, 2: 8, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-151.15448476299423,"{0: 8, 1: 0, 2: 10, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-36.99819571048022,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,-10.554824332589867,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': -3.191891195797325e-16}",30,0,-228.9493382110857,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 4}",0
2,True,"{'a': 0, 'e': -3.191891195797325e-16}",30,0,-133.55030326941258,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-83.82111676742115,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-97.20458052530965,"{0: 12, 1: 5, 2: 0, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,0,-236.23484801668064,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
6,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-62.487980341878824,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-127.85446940988612,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,0,-184.76231067160606,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
9,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,3,-90.511434454864,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,3,-45.669530825955576,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 0}",1
